Teams,Mat,Won,Lost,Tied,NR,Pts,NRR
Mumbai Indians,14,9,5,0,0,18,+1.107
OpponentDescriptionDateResultChennai Super Kings1st Match19 SepLoss by 5 wktsKolkata Knight Riders5th Match23 SepWon by 49 runsRoyal Challengers Bengaluru10th Match28 SepMatch tied (Royal Challengers Bangalore won the Super Over)Punjab Kings13th Match01 OctWon by 48 runsSunrisers Hyderabad17th Match04 OctWon by 34 runsRajasthan Royals20th Match06 OctWon by 57 runsDelhi Capitals27th Match11 OctWon by 5 wktsKolkata Knight Riders32nd Match16 OctWon by 8 wktsPunjab Kings36th Match18 OctMatch tied and Super Over tied - (Kings XI Punjab won the 2nd Super Over)Chennai Super Kings41st Match23 OctWon by 10 wktsRajasthan Royals45th Match25 OctLoss by 8 wktsRoyal Challengers Bengaluru48th Match28 OctWon by 5 wktsDelhi Capitals51st Match31 OctWon by 9 wktsSunrisers Hyderabad56th Match03 NovLoss by 10 wktsDelhi CapitalsQualifier 105 NovWon by 57 runsDelhi CapitalsFinal10 NovWon by 5 wkts,Chennai Super Kings,1st Match,19 Sep,Loss by 5 wkts,Kolkata Knight Riders,5th Match,23 Sep
Chennai Super Kings,1st Match,19 Sep,Loss by 5 wkts,,,,
Kolkata Knight Riders,5th Match,23 Sep,Won by 49 runs,,,,
Royal Challengers Bengaluru,10th Match,28 Sep,Match tied (Royal Challengers Bangalore won the Super Over),,,,
Punjab Kings,13th Match,01 Oct,Won by 48 runs,,,,
Sunrisers Hyderabad,17th Match,04 Oct,Won by 34 runs,,,,
Rajasthan Royals,20th Match,06 Oct,Won by 57 runs,,,,
Delhi Capitals,27th Match,11 Oct,Won by 5 wkts,,,,
Kolkata Knight Riders,32nd Match,16 Oct,Won by 8 wkts,,,,
Punjab Kings,36th Match,18 Oct,Match tied and Super Over tied - (Kings XI Punjab won the 2nd Super Over),,,,
Chennai Super Kings,41st Match,23 Oct,Won by 10 wkts,,,,
Rajasthan Royals,45th Match,25 Oct,Loss by 8 wkts,,,,
Royal Challengers Bengaluru,48th Match,28 Oct,Won by 5 wkts,,,,
Delhi Capitals,51st Match,31 Oct,Won by 9 wkts,,,,
Sunrisers Hyderabad,56th Match,03 Nov,Loss by 10 wkts,,,,
Delhi Capitals,Qualifier 1,05 Nov,Won by 57 runs,,,,
Delhi Capitals,Final,10 Nov,Won by 5 wkts,,,,
Delhi Capitals,14,8,6,0,0,16,-0.109
