Match Info,Team 1,Team 2,Team 1 Score,Team 2 Score,Result
"Tue, Nov 10 2020 - Final, Indian Premier League, 2020",Mumbai Indians,Delhi Capitals,157/5 (18.4),156/7 (20.0),Mumbai Indians beat Delhi Capitals by 5 wickets
"Sun, Nov 08 2020 - Qualifier 2, Indian Premier League, 2020",Delhi Capitals,Sunrisers Hyderabad,189/3 (20.0),172/8 (20.0),Delhi Capitals beat Sunrisers Hyderabad by 17 runs
"Fri, Nov 06 2020 - Eliminator, Indian Premier League, 2020",Sunrisers Hyderabad,Royal Challengers Bangalore,132/4 (19.4),131/7 (20.0),Sunrisers Hyderabad beat Royal Challengers Bangalore by 6 wickets
"Thu, Nov 05 2020 - Qualifier 1, Indian Premier League, 2020",Mumbai Indians,Delhi Capitals,200/5 (20.0),143/8 (20.0),Mumbai Indians beat Delhi Capitals by 57 runs
"Mon, Nov 02 2020 - Match 55, Indian Premier League, 2020",Delhi Capitals,Royal Challengers Bangalore,154/4 (19.0),152/7 (20.0),Delhi Capitals beat Royal Challengers Bangalore by 6 wickets
"Sun, Nov 01 2020 - Match 54, Indian Premier League, 2020",Kolkata Knight Riders,Rajasthan Royals,191/7 (20.0),131/9 (20.0),Kolkata Knight Riders beat Rajasthan Royals by 60 runs
"Sun, Nov 01 2020 - Match 53, Indian Premier League, 2020",Chennai Super Kings,Kings XI Punjab,154/1 (18.5),153/6 (20.0),Chennai Super Kings beat Kings XI Punjab by 9 wickets
"Sat, Oct 31 2020 - Match 51, Indian Premier League, 2020",Delhi Capitals,Mumbai Indians,110/9 (20.0),111/1 (14.2),Mumbai Indians beat Delhi Capitals by 9 wickets
"Fri, Oct 30 2020 - Match 50, Indian Premier League, 2020",Kings XI Punjab,Rajasthan Royals,185/4 (20.0),186/3 (17.3),Rajasthan Royals beat Kings XI Punjab by 7 wickets
"Thu, Oct 29 2020 - Match 49, Indian Premier League, 2020",Chennai Super Kings,Kolkata Knight Riders,178/4 (20.0),172/5 (20.0),Chennai Super Kings beat Kolkata Knight Riders by 6 wickets
"Wed, Oct 28 2020 - Match 48, Indian Premier League, 2020",Mumbai Indians,Royal Challengers Bangalore,166/5 (19.1),164/6 (20.0),Mumbai Indians beat Royal Challengers Bangalore by 5 wickets
"Mon, Oct 26 2020 - Match 46, Indian Premier League, 2020",Kolkata Knight Riders,Kings XI Punjab,149/9 (20.0),150/2 (18.5),Kings XI Punjab beat Kolkata Knight Riders by 8 wickets
"Sun, Oct 25 2020 - Match 45, Indian Premier League, 2020",Rajasthan Royals,Mumbai Indians,196/2 (18.2),195/5 (20.0),Rajasthan Royals beat Mumbai Indians by 8 wickets
"Sun, Oct 25 2020 - Match 44, Indian Premier League, 2020",Royal Challengers Bangalore,Chennai Super Kings,145/6 (20.0),150/2 (18.4),Chennai Super Kings beat Royal Challengers Bangalore by 8 wickets
"Sat, Oct 24 2020 - Match 42, Indian Premier League, 2020",Kolkata Knight Riders,Delhi Capitals,194/6 (20.0),135/9 (20.0),Kolkata Knight Riders beat Delhi Capitals by 59 runs
"Fri, Oct 23 2020 - Match 41, Indian Premier League, 2020",Chennai Super Kings,Mumbai Indians,114/9 (20.0),116/0 (12.2),Mumbai Indians beat Chennai Super Kings by 10 wickets
"Wed, Oct 21 2020 - Match 39, Indian Premier League, 2020",Kolkata Knight Riders,Royal Challengers Bangalore,84/8 (20.0),85/2 (13.3),Royal Challengers Bangalore beat Kolkata Knight Riders by 8 wickets
"Tue, Oct 20 2020 - Match 38, Indian Premier League, 2020",Kings XI Punjab,Delhi Capitals,167/5 (19.0),164/5 (20.0),Kings XI Punjab beat Delhi Capitals by 5 wickets
"Mon, Oct 19 2020 - Match 37, Indian Premier League, 2020",Chennai Super Kings,Rajasthan Royals,125/5 (20.0),126/3 (17.3),Rajasthan Royals beat Chennai Super Kings by 7 wickets
"Sun, Oct 18 2020 - Match 36, Indian Premier League, 2020",Mumbai Indians,Kings XI Punjab,"176/6 (20.0) & 5/1(1.0), 11/1(1.0)","176/6 (20.0) & 5/2 (1.0), 15/0 (0.4)",Kings XI Punjab tied with Mumbai Indians (Kings XI Punjab win Super Over by 2 wickets)
"Sat, Oct 17 2020 - Match 34, Indian Premier League, 2020",Delhi Capitals,Chennai Super Kings,185/5 (19.5),179/4 (20.0),Delhi Capitals beat Chennai Super Kings by 5 wickets
"Sat, Oct 17 2020 - Match 33, Indian Premier League, 2020",Rajasthan Royals,Royal Challengers Bangalore,177/6 (20.0),179/3 (19.4),Royal Challengers Bangalore beat Rajasthan Royals by 7 wickets
"Fri, Oct 16 2020 - Match 32, Indian Premier League, 2020",Mumbai Indians,Kolkata Knight Riders,149/2 (16.5),148/5 (20.0),Mumbai Indians beat Kolkata Knight Riders by 8 wickets
"Thu, Oct 15 2020 - Match 31, Indian Premier League, 2020",Royal Challengers Bangalore,Kings XI Punjab,171/6 (20.0),177/2 (20.0),Kings XI Punjab beat Royal Challengers Bangalore by 8 wickets
"Wed, Oct 14 2020 - Match 30, Indian Premier League, 2020",Delhi Capitals,Rajasthan Royals,161/7 (20.0),148/8 (20.0),Delhi Capitals beat Rajasthan Royals by 13 runs
