Date,User,Tweet,Sentiment_Score,Sentiment,Team
2025-03-02 17:11:16+00:00,1753464946267156480,"@Pant_in_LSG @MohitKattaC1733 @its_parvesh_ @shreevats1 IPL 2020 Eliminator vs RCB : 0(3)

IPL 2020 Q2 vs DC : 0(1) https://t.co/C2IZ873MKR",0.0,Neutral,MI
2025-03-02 16:25:13+00:00,1711477107677937664,"@EconomicTimes Inzy Haq can start VHPL - Virgin Hoor Premier League

I as an Indian will participate there with 72 hoors as stage dancers 😋",0.0,Neutral,MI
2025-03-02 15:33:45+00:00,825529763603193856,"Varun Chakravarthy 2020 Dubai IPL vibes 🔥🔥🔥

#TeamIndia #VarunChakaravarthy",0.0,Neutral,MI
2025-03-02 15:25:53+00:00,1759207981063815169,"❔CAN YOU AFFORD TO MISS THIS MONTHS TIPS!

🥇This month we will be previewing the following

🎾 - ATP &amp; WTA Indian Wells &amp; Miami - (Tennis)
🔴 - World Grand Prix &amp; Players Championship - (Snooker)
⚽️ - Champions League/Europa League - (Football)
🎯 - Premier League Darts - Night… https://t.co/GRjz0BQRMV https://t.co/9YrBv4fKD2",0.25,Positive,MI
2025-03-02 12:53:10+00:00,1612497645590941696,After The Champions Trophy Indian Premier League Will Start From March 22 ND With KKR Take On Royal Challengers Bangalore ( RCB) #IPL2025,0.0,Neutral,MI
2025-03-02 12:39:16+00:00,1630507639065960448,The Board of Control for Cricket in India (BCCI) has regulated the practice sessions for the Indian Premier League (IPL) teams for the upcoming season with no more than seven sessions. There were no such restrictions in the previous editions. The BCCI has also said there can only… https://t.co/fYqhs3CJpe https://t.co/GYo6YISfEC,-0.13888888888888887,Negative,MI
2025-03-02 11:05:53+00:00,3430774090,"KL has to unleash his Punjab KL which wreaked havoc against csk here in ipl 2020
#ChampionsTrophy2025 #INDvsNZ 
#zelena #Helena #zeudi #yulioli #helevier #Tommavi #shailenzo #grandefratello #TDR__now",0.0,Neutral,CSK
2025-03-02 10:14:44+00:00,767373833896660992,"Rayudu Bro... IPL ante nowadays became ""International Players Love"" anipistundi instead of Indian Premier League because of foreign players interest to be part of it#starniadugutelugu",0.125,Positive,MI
2025-03-02 10:06:53+00:00,928644141445038081,"The Board of Control for Cricket in India (BCCI) has regulated the practice sessions for the Indian Premier League (IPL) teams for the upcoming season with no more than seven sessions. 

#BCCI #IPL #India #CricketNews 

https://t.co/QNjY3lbQCV",-0.25,Negative,MI
2025-03-02 10:06:02+00:00,1888925580680388608,Cricket's finest serve up a masterclass display of spin bowling perfection in the Indian Premier League final,0.0,Neutral,MI
